lineage,parent,children
A,,B.1.214.4
A,,B.1.215
A,,B.1.216
A,,B.1.217
A,,B.1.218
A,,B.1.219
A,,B.1.220
A,,B.1.221
A,,B.1.221.1
A,,B.1.221.2
A,,B.1.221.3
A,,B.1.221.4
A,,B.1.222
A,,B.1.223
A,,B.1.224
A,,B.1.225
A,,B.1.226
A,,B.1.227
A,,B.1.228
A,,B.1.229
A,,B.1.230
A,,B.1.231
A,,B.1.232
A,,B.1.233
A,,B.1.234
A,,B.1.235
A,,B.1.236
A,,B.1.237
A,,B.1.238
A,,B.1.239
A,,B.1.240
A,,B.1.240.1
A,,B.1.240.2
A,,B.1.241
A,,B.1.242
A,,B.1.243
A,,B.1.243.1
A,,B.1.243.2
A,,B.1.244
A,,B.1.245
A,,B.1.246
A,,B.1.247
A,,B.1.248
A,,B.1.249
A,,B.1.250
A,,B.1.251
A,,B.1.252
A,,B.1.253
A,,B.1.254
A,,B.1.255
A,,B.1.256
A,,B.1.257
A,,B.1.258
A,,B.1.258.1
A,,B.1.258.2
A,,B.1.258.3
A,,B.1.258.4
A,,B.1.258.5
A,,B.1.258.6
A,,B.1.258.7
A,,B.1.258.8
A,,B.1.258.9
A,,B.1.258.10
A,,B.1.258.11
A,,B.1.258.12
A,,B.1.258.13
A,,B.1.258.14
A,,B.1.258.15
A,,B.1.258.16
A,,B.1.258.17
A,,B.1.258.18
A,,B.1.258.19
A,,B.1.258.20
A,,B.1.258.21
A,,B.1.258.22
A,,B.1.258.23
A,,B.1.258.24
A,,B.1.259
A,,B.1.260
A,,B.1.261
A,,B.1.262
A,,B.1.263
A,,B.1.264
A,,B.1.264.1
A,,B.1.265
A,,B.1.266
A,,B.1.267
A,,B.1.268
A,,B.1.269
A,,B.1.270
A,,B.1.271
A,,B.1.272
A,,B.1.273
A,,B.1.274
A,,B.1.275
A,,B.1.276
A,,B.1.277
A,,B.1.278
A,,B.1.279
A,,B.1.280
A,,B.1.281
A,,B.1.282
A,,B.1.283
A,,B.1.284
A,,B.1.285
A,,B.1.286
A,,B.1.287
A,,B.1.288
A,,B.1.289
A,,B.1.290
A,,B.1.291
A,,B.1.292
A,,B.1.293
A,,B.1.294
A,,B.1.295
A,,B.1.296
A,,B.1.297
A,,B.1.297.1
A,,B.1.298
A,,B.1.299
A,,B.1.300
A,,B.1.301
A,,B.1.302
A,,B.1.303
A,,B.1.304
A,,B.1.305
A,,B.1.306
A,,B.1.307
A,,B.1.308
A,,B.1.309
A,,B.1.310
A,,B.1.311
A,,B.1.312
A,,B.1.313
A,,B.1.314
A,,B.1.315
A,,B.1.316
A,,B.1.317
A,,B.1.318
A,,B.1.319
A,,B.1.320
A,,B.1.321
A,,B.1.322
A,,B.1.323
A,,B.1.324
A,,B.1.325
A,,B.1.326
A,,B.1.327
A,,B.1.328
A,,B.1.329
A,,B.1.330
A,,B.1.331
A,,B.1.332
A,,B.1.333
A,,B.1.333.1
A,,B.1.334
A,,B.1.335
A,,B.1.336
A,,B.1.337
A,,B.1.338
A,,B.1.339
A,,B.1.340
A,,B.1.341
A,,B.1.342
A,,B.1.343
A,,B.1.344
A,,B.1.345
A,,B.1.346
A,,B.1.347
A,,B.1.348
A,,B.1.349
A,,B.1.350
A,,B.1.350.1
A,,B.1.351
A,,B.1.351.1
A,,B.1.351.2
A,,B.1.351.3
A,,B.1.351.4
A,,B.1.351.5
A,,B.1.352
A,,B.1.353
A,,B.1.354
A,,B.1.355
A,,B.1.356
A,,B.1.357
A,,B.1.358
